name,url,auther,publisher,date,price,rate,rates_num,comments
穆斯林的葬礼,https://book.douban.com/subject/1082334/,霍达,北京十月文艺出版社,1988-12-1,32.00,['8.1'],132285,时代烙印鲜明的民族史诗
哈利·波特与密室,https://book.douban.com/subject/1039487/,[英] J. K. 罗琳,人民文学出版社,2000-9,22.00元,['8.9'],118606,渐入佳境，魔法世界全貌初现
1984,https://book.douban.com/subject/4820710/,[英] 乔治·奥威尔,北京十月文艺出版社,2010-4-1,28.00,['9.3'],114204,栗树荫下，我出卖你，你出卖我
骆驼祥子,https://book.douban.com/subject/1043815/,老舍,人民文学出版社,2000-3-1,12.00,['8.4'],124016,如骆驼喘息般深刻的绝望
送你一颗子弹,https://book.douban.com/subject/4238362/,刘瑜,上海三联书店,2010-1,25.00元,['8.6'],119010,犀利又温柔，穿过胸口隐隐作痛
情人,https://book.douban.com/subject/1400705/,[法] 玛格丽特·杜拉斯,上海译文出版社,2005-7,20.00元,['8.1'],126391,我已经老了，你呢？
月亮与六便士,https://book.douban.com/subject/26954760/,[英] 威廉·萨默塞特·毛姆,浙江文艺出版社,2017-1-1,39.80元,['8.8'],113438,满地都是六便士，他却抬头看见了月亮
人类简史,https://book.douban.com/subject/25985021/,[以色列] 尤瓦尔·赫拉利,中信出版社,2014-11,CNY 68.00,['9.1'],106425,跟着人类一同走过十万年
黄金时代,https://book.douban.com/subject/1089243/,王小波,花城出版社,1999-3,19.00元,['8.8'],108889,能把性爱写得如此坦荡的，大概只有王二了
三国演义（全二册）,https://book.douban.com/subject/1019568/,[明] 罗贯中,人民文学出版社,1998-05,39.50元,['9.2'],102187,是非成败转头空
哈利·波特与混血王子,https://book.douban.com/subject/1432596/,[英] J. K. 罗琳,人民文学出版社,2005-10,58.00元,['8.8'],103235,感情线纷乱的一部。再见邓布利多
牧羊少年奇幻之旅,https://book.douban.com/subject/3608208/,[巴西] 保罗·柯艾略,南海出版公司,2009-3-1,25.00元,['8.6'],104767,你自己就是最大的宝藏
哈利·波特与凤凰社,https://book.douban.com/subject/1013129/,[英] J. K. 罗琳,人民文学出版社,2003-9,59.00元,['8.7'],99729,暴脾气的哈利
悟空传,https://book.douban.com/subject/1003000/,今何在,光明日报出版社,2001-4,14.80元,['8.3'],106996,猴子还是那个猴子，世界早已不是原来的世界
局外人,https://book.douban.com/subject/4908885/,[法] 阿尔贝·加缪,上海译文出版社,2010-8,22.00元,['9.0'],97167,人生在世，永远也不该演戏作假
1Q84 BOOK 1,https://book.douban.com/subject/4742918/,[日] 村上春树,南海出版公司,2010-5,36.00元,['8.3'],106048,村上的野望，欢迎来到1Q84年
哈利·波特与死亡圣器,https://book.douban.com/subject/2295163/,[英] J. K. 罗琳,人民文学出版社,2007-10,66.00元,['9.0'],93920,中国乡村史诗
白鹿原,https://book.douban.com/subject/1085799/,陈忠实,人民文学出版社,1997-12,28.00元,['8.7'],94920,最平易近人的哲学入门
苏菲的世界,https://book.douban.com/subject/1045818/,（挪威）乔斯坦·贾德,作家出版社,1999-04,26.80元,['8.5'],99256,莉迪亚死了，可他们还不知道
无声告白,https://book.douban.com/subject/26382433/,[美] 伍绮诗,江苏凤凰文艺出版社,2015-7,35.00元,['8.2'],102103,两条平行线相遇的可能
向左走·向右走,https://book.douban.com/subject/1066462/,幾米,生活·读书·新知三联书店,2002-8,16.00元,['8.4'],98937,“有情皆孽，无人不冤”
天龙八部,https://book.douban.com/subject/1255625/,金庸,生活.读书.新知三联书店,1994-5,96.0,['9.1'],89194,妓女应当拥有爱情吗？
茶花女,https://book.douban.com/subject/1013380/,小仲马,外国文学出版社,1997-3,9.00元,['8.2'],97812,梦，就像黛西家的那一缕绿光
了不起的盖茨比,https://book.douban.com/subject/1008988/,菲茨杰拉德,人民文学出版社,2004-06,12.00元,['8.4'],95242,完美的复仇，金庸用法语写作应该就是这样
基督山伯爵,https://book.douban.com/subject/1085860/,大仲马,上海译文出版社,1991-12-1,43.90元,['9.0'],87118,暗恋的极致
一个陌生女人的来信,https://book.douban.com/subject/2154960/,[奥] 斯台芬·茨威格,上海译文出版社,2007-7,20.00元,['8.7'],91005,近乎暴虐的爱与恨，中文译名后无来者
呼啸山庄,https://book.douban.com/subject/1119522/,（英）勃朗特,人民文学出版社,1999-01-01,27.30元,['8.4'],93550,龙应台母子对话，两代人的思想碰撞
亲爱的安德烈,https://book.douban.com/subject/3369793/,龙应台,人民文学出版社,2008-12,26.00,['8.6'],91819,沉默是沉默者的通行证
沉默的大多数,https://book.douban.com/subject/1054685/,王小波,中国青年出版社,1997-10,27.00元,['9.1'],82988,童谣杀人案
无人生还,https://book.douban.com/subject/3006581/,[英] 阿加莎・克里斯蒂,人民文学出版社,2008-3,19.00,['8.9'],81920,谋杀诡计惊人，波洛的抉择耐人寻味
东方快车谋杀案,https://book.douban.com/subject/1827374/,[英] 阿加莎·克里斯蒂,人民文学出版社,2006-5,18.00元,['9.0'],80449,侦探小说鼻祖
福尔摩斯探案全集（上中下）,https://book.douban.com/subject/1040211/,[英] 阿·柯南道尔,1981-8,53.00元,68.00元,['9.2'],77790,唯有希望与爱可以驱散阴霾
灿烂千阳,https://book.douban.com/subject/2143732/,[美] 卡勒德·胡赛尼,上海人民出版社,2007-9,28.00元,['8.8'],81736,武侠的壳，政治斗争的核
巴黎圣母院,https://book.douban.com/subject/1024197/,[法]雨果,人民文学出版社,1982-6,22.50元,['8.4'],82787,潜藏于残缺下的美与崇高
莲花,https://book.douban.com/subject/1529893/,安妮宝贝,作家出版社,2006-3,25.00元,['8.0'],88737,三个生命的交逢，灵魅清冷
我不喜欢这世界，我只喜欢你,https://book.douban.com/subject/26414020/,乔一,湖南少年儿童出版社,2015-5-1,29.80元,['8.0'],83444,一想到能和你共度余生，我就对余生充满期待
海边的卡夫卡,https://book.douban.com/subject/1059419/,[日] 村上春树,上海译文出版社,2003-4,25.00元,['8.1'],85476,背负诅咒的少年，平行世界中的奥德赛
城南旧事,https://book.douban.com/subject/1254588/,林海音 文,中国青年出版社,2003-7,16.00元,['9.0'],76055,长亭外，古道边，芳草碧连天
兄弟（上）,https://book.douban.com/subject/1401425/,余华,上海文艺出版社,2005-8,16.00元,['8.3'],81131,历史苦难中的个人灾变
呐喊,https://book.douban.com/subject/1449351/,鲁迅,人民文学出版社,1973年3月,0.36元,['8.9'],74182,新文学的第一声呐喊
情书,https://book.douban.com/subject/1080370/,[日] 岩井俊二,天津人民出版社,2004-7,18.00元,['8.6'],77348,一场误会中的两段爱情，东方式的含蓄隐忍
肖申克的救赎,https://book.douban.com/subject/1829226/,[美] 斯蒂芬·金,人民文学出版社,2006-7,29.90元,['9.1'],71946,希望让人自由，电影实在太有名
羊脂球,https://book.douban.com/subject/1205370/,（法）莫泊桑,北京燕山出版社,2007-6,13.50元,['8.1'],80578,资产阶级的道貌岸然
乌合之众,https://book.douban.com/subject/1012611/,（法）勒庞,中央编译出版社,2011-5-1,16.00元,['8.2'],81729,群氓心理剖析
动物农场,https://book.douban.com/subject/2035179/,[英] 乔治·奥威尔,上海译文出版社,2007-3,10.00元,['9.2'],70832,太阳底下并无新事
安徒生童话故事集,https://book.douban.com/subject/1046209/,（丹麦）安徒生,人民文学出版社,1997-08,25.00元,['9.2'],69867,远不是童话那么简单
神雕侠侣,https://book.douban.com/subject/1255624/,金庸,生活·读书·新知三联书店,1994-5,76.80元,['8.9'],71113,至情至性，情大于武
少有人走的路,https://book.douban.com/subject/1775691/,[美] M·斯科特·派克,吉林文史出版社,2007-1,26.00元,['8.4'],76016,成熟的心智通向更完善的自我
爱你就像爱生命,https://book.douban.com/subject/3071717/,王小波,上海锦绣文章出版社,2008-5,18.00元,['8.8'],71489,王小波与李银河的两地书
红玫瑰与白玫瑰,https://book.douban.com/subject/1014278/,张爱玲,花城出版社,1996-06,12.80元,['8.4'],72408,蚊子血还是饭黏子？
朝花夕拾,https://book.douban.com/subject/1449352/,鲁迅,人民文学出版社,1972年4月,0.25元,['8.7'],67272,鲁迅的旧事重提
阿Q正传,https://book.douban.com/subject/1088065/,鲁迅 著,上海书店出版社,2003-7,14.50元,['8.7'],65691,哀其不幸，怒其不争
当我谈跑步时我谈些什么,https://book.douban.com/subject/3369600/,[日] 村上春树,南海出版公司,2009-1,25.00,['8.2'],71439,村上同志告诉我们，身体是革命的本钱
海底两万里,https://book.douban.com/subject/1085470/,[法国] 儒尔·凡尔纳,译林出版社,2002-9,19.50元,['8.5'],65384,你听说过鹦鹉螺号吗？
遇见未知的自己,https://book.douban.com/subject/2340100/,张德芬,华夏出版社,2008-1,29.00,['8.0'],70606,都市灵修速成
民主的细节,https://book.douban.com/subject/3813669/,刘瑜,上海三联书店,2009-6,25.00,['8.6'],65861,公民养成手册
梦里花落知多少,https://book.douban.com/subject/2070844/,三毛,北京十月文艺出版社,2007-6,28.00元,['8.8'],63593,哀而不伤
鬼吹灯之精绝古城,https://book.douban.com/subject/1882933/,天下霸唱,安徽文艺出版社,2006,25.00元,['8.1'],67297,盗墓祖师名不虚传
巨人的陨落,https://book.douban.com/subject/26698660/,[英] 肯·福莱特,江苏凤凰文艺出版社,2016-5-1,129.80元,['8.9'],59014,五个家族，一场战争
一只特立独行的猪,https://book.douban.com/subject/1767945/,王小波,北方文艺出版社,2006-4,18.80元,['8.8'],59873,生活就是个缓慢受锤的过程，至少还可以特立独行
半生缘,https://book.douban.com/subject/1963684/,张爱玲,北京十月文艺出版社,2006-12,28.00元,['8.6'],61178,世钧，我们回不去了
华胥引（全二册）,https://book.douban.com/subject/5916880/,唐七公子,现代出版社,2011-1,39.80元,['8.4'],64418,现实不如梦中的圆满
格林童话全集,https://book.douban.com/subject/1043008/,[德国]格林兄弟,人民文学出版社,1994-11,21.45元,['9.0'],57222,许多隐晦
杀死一只知更鸟,https://book.douban.com/subject/6781808/,[美] 哈珀·李,译林出版社,2012-9,32.00元,['9.2'],54825,有一种东西不能遵循从众原则，那就是——人的良心
你今天真好看,https://book.douban.com/subject/26602392/,[美]莉兹•克里莫,天津人民出版社,2015-8,39.00元,['8.6'],58009,呆萌可爱的动物段子手
射雕英雄传（全四册）,https://book.douban.com/subject/1044547/,金庸,生活·读书·新知三联书店,1999-04,47.00元,['9.0'],55157,侠之大者，为国为民
一个人的朝圣,https://book.douban.com/subject/24934182/,[英] 蕾秋·乔伊斯,北京联合出版公司,2013-9-1,32.80,['8.1'],62184,关于爱和信念的旅行
陪安东尼度过漫长岁月,https://book.douban.com/subject/3014576/,安东尼,长江文艺出版社,2008-3,18.00,['8.3'],61557,真正的片段式写作
这些都是你给我的爱,https://book.douban.com/subject/4714734/,文：安东尼,长江文艺出版社,2010-3,24.80元,['8.3'],58465,只言片语的温暖
如何阅读一本书,https://book.douban.com/subject/1013208/,[美] 莫提默·J. 艾德勒,商务印书馆,2004-1,38.00元,['8.4'],56036,读书的方法论
喜宝,https://book.douban.com/subject/2022979/,亦舒,新世界出版社,2007-2,22.00元,['8.0'],59118,爱情才是终极的奢侈品
孩子你慢慢来,https://book.douban.com/subject/4207781/,龙应台,生活·读书·新知三联书店,2009-12-1,28.00元,['8.8'],53077,我们现在怎样做母亲
这些人，那些事,https://book.douban.com/subject/6388661/,吴念真,译林出版社,2011-9,28.00元,['8.8'],52613,平淡叙述下的惊心动魄
麦琪的礼物,https://book.douban.com/subject/1051193/,[美] 欧·亨利,上海社会科学院出版社,2003-7,25.00元,['8.6'],51010,日常的奇迹
流浪地球,https://book.douban.com/subject/3266609/,刘慈欣,湖北长江出版集团，长江文艺出版社,2008-11,28.00元,['8.6'],52060,刘慈欣获中国科幻银河奖的中短篇小说集
查令十字街84号,https://book.douban.com/subject/1316648/,[美] 海莲·汉芙,译林出版社,2005-05-01,18.00元,['8.3'],52922,文艺青年的爱情地标
雷雨,https://book.douban.com/subject/1013416/,曹禺,人民文学出版社,1999-05,9.20,['8.6'],50238,人的心都靠不住，我并不是说人坏，我就是恨人性太弱，太容易变了
西游记（全二册）,https://book.douban.com/subject/1029553/,吴承恩,人民文学出版社,2004-8,47.20元,['8.9'],47590,取经之路就在脚下
水浒传（全二册）,https://book.douban.com/subject/1008357/,[明] 施耐庵,人民文学出版社,1997-1,50.60元,['8.6'],49223,风风火火闯九州
菊与刀,https://book.douban.com/subject/1022238/,（美）鲁思・本尼迪克特,商务印书馆,1990-6,16.00,['8.2'],52771,复杂矛盾的日本民族
